WnvPresent,Latitude,Longitude,AddressAccuracy,Last7Average_Temp,Last14Average_Temp,MonthAverage_Temp,Last7Total_Rainfall,Last14Total_Rainfall,MonthTotal_Rainfall,Last7Average_Windspeed,Last14Average_Windspeed,MonthAverage_Windspeed,Last7Average_Daylight,Last14Average_Daylight,MonthAverage_Daylight,Last7Average_Departure,Last14Average_Departure,MonthAverage_Departure,Last7Average_WetBulb,Last14Average_WetBulb,MonthAverage_WetBulb,Last7Average_DewPoint,Last14Average_DewPoint,MonthAverage_DewPoint,Species_fac,Trap_fac
0,41.95469,-87.800991,9,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,4,0
0,41.95469,-87.800991,9,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,1,0
0,41.994991,-87.769279,9,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,1,1
0,41.974089,-87.824812,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,4,2
0,41.974089,-87.824812,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,1,2
0,41.9216,-87.666455,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,1,3
0,41.891118,-87.654491,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,1,4
0,41.867108,-87.654224,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,4,5
0,41.867108,-87.654224,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,1,5
0,41.896282,-87.655232,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,1,6
0,41.919343,-87.694259,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,4,7
0,41.921965,-87.632085,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,4,8
0,41.921965,-87.632085,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,1,8
0,41.688324,-87.676709,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,4,9
0,41.688324,-87.676709,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,1,9
0,41.862292,-87.64886,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,1,10
0,41.720848,-87.666014,9,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,1,11
0,41.731922,-87.677512,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,1,12
0,41.731922,-87.677512,8,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,3,12
0,41.891126,-87.61156,5,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,4,13
0,41.891126,-87.61156,5,67.5714285714,60.0,62.0,1.07,0.07,0.65,4.4,11.2,10.5785714286,188.06,889.142857143,868.928571429,846.666666667,5.0,3.85714285714,4.85714285714,47.0,52.5,54.8571428571,49.0,44.1428571429,1,13
